Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Item,Color,Style,Casuality,Material,Patterns,Occasion,Seasonality,Description,full
classic-varsity-top,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ",partners-demo,,women,TRUE,Size,Small,,,,,,0,,1,deny,manual,60,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,jacket,gray and white,modern,casual,leather,stripes,suit and tie,fall,"jacket, gray and white, modern, casual, leather, stripes, suit and tie, fall, ",red dress
yellow-wool-jumper,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall. ,partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,80,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,sweater,yellow and white,modern,casual,cotton,stripes,shirt and pants,fall,"sweater, yellow and white, modern, casual, cotton, stripes, shirt and pants, fall, ","Yellow Wool Jumper Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.  sweater, yellow and white, modern, casual, cotton, stripes, shirt and pants, fall, "
striped-silk-blouse,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants. ,partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,dress,red and black,modern,casual,leather,stripes,dress,fall,"dress, red and black, modern, casual, leather, stripes, dress, fall, ","Striped Silk Blouse Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.  dress, red and black, modern, casual, leather, stripes, dress, fall, "
classic-leather-jacket,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket. ",partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,80,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,jacket,black and white,modern,casual,leather,no pattern,suit and tie,winter,"jacket, black and white, modern, casual, leather, no pattern, suit and tie, winter, ","Classic Leather Jacket Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.  jacket, black and white, modern, casual, leather, no pattern, suit and tie, winter, "
dark-denim-top,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,60,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,jacket,red and yellow,edgy,casual,denim,checkerboard,casual,summer,"jacket, red and yellow, edgy, casual, denim, checkerboard, casual, summer, ","Dark Denim Top Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect. jacket, red and yellow, edgy, casual, denim, checkerboard, casual, summer, "
navy-sport-jacket,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",partners-demo,,men,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,60,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,jacket,blue,modern,casual,leather,no pattern,casual,fall,"jacket, blue, modern, casual, leather, no pattern, casual, fall, ","Navy Sports Jacket Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers. jacket, blue, modern, casual, leather, no pattern, casual, fall, "
dark-winter-jacket,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,hat jacket and scarf,black and red,modern,casual,wool,plaid,suit,winter,"hat jacket and scarf, black and red, modern, casual, wool, plaid, suit, winter, ","Soft Winter Jacket Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days. hat jacket and scarf, black and red, modern, casual, wool, plaid, suit, winter, "
black-leather-bag,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand. ",partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,30,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,t shirt and jeans,black,modern chic,casual,leather,no pattern,casual,summer,"t shirt and jeans, black, modern chic, casual, leather, no pattern, casual, summer, ","Black Leather Bag Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.  t shirt and jeans, black, modern chic, casual, leather, no pattern, casual, summer, "
zipped-jacket,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,partners-demo,,men,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,65,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/menswear-blue-zip-up-jacket_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,jacket,blue and black,modern,casual,leather,no pattern,casual,winter,"jacket, blue and black, modern, casual, leather, no pattern, casual, winter, ","Zipped Jacket Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage. jacket, blue and black, modern, casual, leather, no pattern, casual, winter, "
silk-summer-top,Silk Summer Top,Silk womens top with short sleeves and number pattern.,partners-demo,,women,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,70,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-hip-woman-at-carnival_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,shirt,blue and yellow,modern,casual,leather,no pattern,party,summer,"shirt, blue and yellow, modern, casual, leather, no pattern, party, summer, ","Silk Summer Top Silk womens top with short sleeves and number pattern. shirt, blue and yellow, modern, casual, leather, no pattern, party, summer, "
